Rank,Peak,All Time Peak,Actual Gross,Adjusted gross,Artist,Tour title,Shows,Average gross,Start_year,End_year
1,1,2,780000000,780000000,Taylor Swift,The Eras Tour â,56,13928571,2023,2024
2,1,7,579800000,579800000,BeyoncA,Renaissance World Tour,56,10353571,2023,2023
3,1,2,411000000,560622615,Madonna,Sticky Sweet Tour â,85,4835294,2008,2009
4,2,10,397300000,454751555,Pink,Beautiful Trauma World Tour,156,2546795,2018,2019
5,2,-1,345675146,402844849,Taylor Swift,Reputation Stadium Tour,53,6522173,2018,2018
6,2,10,305158363,388978496,Madonna,The MDNA Tour,88,3467709,2012,2012
7,2,-1,280000000,381932682,Celine Dion,Taking Chances World Tour,131,2137405,2008,2009
8,-1,-1,257600000,257600000,Pink,Summer Carnival â,41,6282927,2023,2024
9,-1,-1,256084556,312258401,BeyoncA,The Formation World Tour,49,5226215,2016,2016
10,-1,-1,250400000,309141878,Taylor Swift,The 1989 World Tour,85,2945882,2015,2015
11,-1,-1,229100000,283202896,BeyoncA,The Mrs Carter Show World Tour,132,1735606,2013,2014
12,-1,14,227400000,295301479,Lady Gaga,The Monster Ball Tour,203,1118227,2009,2011
13,-1,-1,204000000,251856802,Katy Perry,Prismatic World Tour,151,1350993,2014,2015
14,1,-1,200000000,299676265,Cher,Living Proof The Farewell Tour â,325,615385,2002,2005
15,2,-1,194000000,281617035,Madonna,Confessions Tour,60,3233333,2006,2006
16,-1,-1,184000000,227452347,Pink,The Truth About Love Tour,142,1295775,2013,2014
17,-1,-1,170000000,213568571,Lady Gaga,Born This Way Ball,98,1734694,2012,2013
18,-1,-1,169800000,207046755,Madonna,Rebel Heart Tour,82,2070732,2015,2016
19,-1,-1,167700000,204486106,Adele,Adele Live 2016,121,1385950,2016,2017
20,-1,-1,150000000,185423109,Taylor Swift,The Red Tour,86,1744186,2013,2014
